SSN,Longitude,Latitude,Country,Site,Cluster,Profile,Depth,Clay_8um,CORG,pH,Alox,Feox,Caex,MAT,MAP,PET,CIA,LandCover
icr005934,36.09859085,-6.92975998,Tanzania,Chinyanghuku,1,4,Topsoil,33.933,0.66,7.31,0.143273623,0.173714498,5.58,22.79999999,557,1922,76.98644045,Other
icr005940,36.09469604,-6.92728519,Tanzania,Chinyanghuku,1,8,Topsoil,31.072,1.31,7,0.128964534,0.213262711,6.84,22.79999999,557,1922,70.11958678,Other
icr005949,36.08790207,-6.90577698,Tanzania,Chinyanghuku,2,2,Subsoil,25.537,0.22,6.86,0.08243181,0.091997257,3.14,23.64583329,551,2005,77.67825179,Cropland
icr005950,36.08887863,-6.91137981,Tanzania,Chinyanghuku,2,3,Topsoil,15.736,0.65,7.11,0.056205638,0.214900802,3.28,23.21666658,553,1972,68.92862208,Other
icr005952,36.09090042,-6.91000986,Tanzania,Chinyanghuku,2,4,Topsoil,33.857,0.48,8.09,0.104332449,0.066500364,12.35,23.21666658,553,1972,89.88949536,Other
icr005955,36.09250641,-6.91318321,Tanzania,Chinyanghuku,2,5,Subsoil,39.839,0.29,7.28,0.105886029,0.112840502,5.3,23.27499982,555,1966,86.74066145,Cropland
icr005958,36.08447647,-6.90896797,Tanzania,Chinyanghuku,2,7,Topsoil,37.769,0.93,6.91,0.101307213,0.117272487,5.42,23.21666658,553,1972,83.28049085,Other
icr005962,36.08990097,-6.9095149,Tanzania,Chinyanghuku,2,9,Subsoil,24.89,0.38,6.74,0.092438163,0.080574252,4.68,23.21666658,553,1972,82.45212597,Other
icr005964,36.091362,-6.91324282,Tanzania,Chinyanghuku,2,10,Subsoil,38.688,0.32,6.94,0.094807174,0.078634694,4.54,23.21666658,553,1972,85.35931972,Other
icr005971,36.09030914,-6.887218,Tanzania,Chinyanghuku,3,4,Topsoil,30.104,0.98,8.29,0.121531642,0.290051213,9.59,23.82083333,551,2032,85.96308657,Cropland
icr005972,36.09030914,-6.887218,Tanzania,Chinyanghuku,3,4,Subsoil,44.319,0.45,8.5,0.145693986,0.316162607,6.98,23.82083333,551,2032,86.13168683,Cropland
icr005973,36.0957,-6.87997,Tanzania,Chinyanghuku,3,5,Topsoil,27.801,0.99,8.34,0.11481031,0.14985756,10.02,23.66249998,549,2002,76.28301221,Other
icr005974,36.0957,-6.87997,Tanzania,Chinyanghuku,3,5,Subsoil,32.602,0.55,8.52,0.100035729,0.103194905,9.57,23.66249998,549,2002,74.70719797,Other
icr005975,36.0976,-6.88609,Tanzania,Chinyanghuku,3,6,Topsoil,38.023,1.22,7.74,0.122484037,0.18056694,9.05,23.70833341,552,2011,81.3418605,Cropland
icr005977,36.09513855,-6.88887692,Tanzania,Chinyanghuku,3,7,Topsoil,73.394,0.75,7.35,0.191178349,0.383906336,13.83,23.70833341,552,2011,80.60271068,Other
icr005980,36.09533691,-6.88462782,Tanzania,Chinyanghuku,3,8,Subsoil,58.986,0.89,7.93,0.123705966,0.174118774,12.83,23.70833341,552,2011,85.65255125,Cropland
icr005981,36.08917236,-6.88493204,Tanzania,Chinyanghuku,3,9,Topsoil,41.843,0.52,7.97,0.146716887,0.160215965,9.1,23.82083333,551,2032,91.16304903,Other
icr005987,36.09425354,-6.86272192,Tanzania,Chinyanghuku,4,3,Topsoil,28.287,2.11,7.18,0.074760027,0.069929218,8.59,23.10833331,550,1974,71.73126733,Other
icr005988,36.0972023,-6.86873007,Tanzania,Chinyanghuku,4,4,Topsoil,22.009,1.85,7.52,0.100681093,0.131247657,9.54,23.28333334,549,1981,67.7554986,Other
icr005989,36.09580612,-6.86867285,Tanzania,Chinyanghuku,4,7,Topsoil,38.328,1.96,7.97,0.143085061,0.184726152,17.93,23.28333334,549,1981,82.96679734,Grassland
icr005990,36.10004807,-6.86531687,Tanzania,Chinyanghuku,4,8,Topsoil,25.829,1.12,7.15,0.103790135,0.071904826,4.72,23.2874999,545,1970,75.64534033,Other
icr005991,36.10004807,-6.86531687,Tanzania,Chinyanghuku,4,8,Subsoil,22.203,0.36,7.03,0.071808679,0.066743074,2.62,23.2874999,545,1970,74.73016787,Other
icr005997,36.10046768,-6.86088324,Tanzania,Chinyanghuku,4,15,Topsoil,32.915,3.03,7.41,0.107925627,0.128525681,12.9,23.2874999,545,1970,70.98941101,Other
icr006000,36.12515259,-6.93443298,Tanzania,Chinyanghuku,5,2,Topsoil,25.234,0.92,7.24,0.095561098,0.152167092,5.55,22.37083332,576,1892,60.83721408,Other
icr006004,36.123703,-6.93503523,Tanzania,Chinyanghuku,5,5,Subsoil,23.434,0.41,6.84,0.105688954,0.214587304,2.82,22.32083329,573,1887,65.07981856,Other
icr006010,36.12462234,-6.93586206,Tanzania,Chinyanghuku,5,10,Topsoil,31.062,1.24,7.15,0.101385498,0.155862398,7.39,22.32083329,573,1887,64.3028711,Other
icr006014,36.1206,-6.93647,Tanzania,Chinyanghuku,5,13,Subsoil,23.723,0.4,7.08,0.081606168,0.129945069,4.18,22.32083329,573,1887,68.39316657,Other
icr006021,36.1230278,-6.91457701,Tanzania,Chinyanghuku,6,4,Topsoil,29.785,0.49,7.82,0.093444055,0.106446051,4.63,23.03333326,567,1932,73.32707308,Cropland
icr006024,36.11964035,-6.91430712,Tanzania,Chinyanghuku,6,5,Subsoil,48.106,0.41,8.06,0.104277716,0.155956398,11.87,23.03333326,567,1932,84.78544973,Other
icr006026,36.11936951,-6.91590691,Tanzania,Chinyanghuku,6,6,Subsoil,37.587,0.33,7.01,0.093205817,0.101528224,6.21,23.03333326,567,1932,84.14474524,Other
icr006034,36.12488174,-6.91441488,Tanzania,Chinyanghuku,6,10,Subsoil,35.149,0.35,7.05,0.108498494,0.133379665,4.4,23.03333326,567,1932,78.31121947,Cropland
icr006041,36.11659622,-6.88918018,Tanzania,Chinyanghuku,7,4,Topsoil,7.777,0.3,7.22,0.067341519,0.064532585,2.46,23.38749981,561,1961,76.92678075,Cropland
icr006058,36.12046432,-6.86254215,Tanzania,Chinyanghuku,8,3,Topsoil,13.883,0.34,6.74,0.090982102,0.137546386,1.33,23.21249998,553,1947,83.50655142,Cropland
icr006063,36.11914444,-6.85994005,Tanzania,Chinyanghuku,8,5,Subsoil,47.019,0.56,7.98,0.117280459,0.134318855,12.25,23.21249998,553,1947,84.22627728,Other
icr006082,36.1416,-6.9288,Tanzania,Chinyanghuku,9,9,Subsoil,52.875,0.5,7.51,0.116312531,0.273710864,9.67,22.02500014,585,1876,73.78744099,Other
icr006099,36.14,-6.90426,Tanzania,Chinyanghuku,10,10,Topsoil,41.216,2.29,7.35,0.123515138,0.170939787,14.18,22.42916667,574,1897,65.93575361,Forest
icr006110,36.1377,-6.89232,Tanzania,Chinyanghuku,11,5,Subsoil,42.49,0.52,7.32,0.111677191,0.125869272,4.93,22.93749988,563,1928,86.59492,Other
icr006114,36.1331,-6.89039,Tanzania,Chinyanghuku,11,7,Subsoil,29.652,0.34,6.22,0.099357537,0.107421103,2.23,23.17500003,563,1943,83.10948773,Other
icr006115,36.1339,-6.89424,Tanzania,Chinyanghuku,11,8,Topsoil,36.886,0.73,7.78,0.108745723,0.086323982,6.54,22.93749988,563,1928,84.6914609,Other
icr006116,36.1339,-6.89424,Tanzania,Chinyanghuku,11,8,Subsoil,16.68,0.44,7.78,0.063857918,0.049269043,3.24,22.93749988,563,1928,79.27268801,Other
icr006118,36.1367,-6.89404,Tanzania,Chinyanghuku,11,9,Subsoil,44.033,1.42,7.96,0.133071382,0.094174684,18.89,22.93749988,563,1928,88.01403215,Forest
icr006127,36.13782883,-6.86459208,Tanzania,Chinyanghuku,12,6,Subsoil,42.328,0.49,7.71,0.13509994,0.156030196,7.06,22.73333331,559,1915,83.33338285,Other
icr006130,36.14284897,-6.85878706,Tanzania,Chinyanghuku,12,8,Topsoil,30.564,0.77,6.45,0.094763115,0.088037269,2.56,23.08333325,555,1930,85.62057805,Other
icr006131,36.14284897,-6.85878706,Tanzania,Chinyanghuku,12,8,Subsoil,28.944,0.3,5.74,0.08748927,0.076305208,1.73,23.08333325,555,1930,88.25253787,Other
icr006133,36.13682556,-6.86057806,Tanzania,Chinyanghuku,12,9,Subsoil,21.228,0.8,6.68,0.074069689,0.069983028,3.3,22.73333331,559,1915,71.82352991,Other
icr006139,36.16307831,-6.93410778,Tanzania,Chinyanghuku,13,2,Topsoil,35.327,0.97,7.05,0.10193897,0.181681032,4.81,21.88750013,597,1868,71.7385455,Other
icr006145,36.16355133,-6.93353701,Tanzania,Chinyanghuku,13,8,Topsoil,55.194,2.6,7.6,0.274007638,0.385196055,17.33,21.88750013,597,1868,76.11403235,Other
icr006162,36.16220856,-6.90902185,Tanzania,Chinyanghuku,14,13,Topsoil,23.977,2.35,6.74,0.078594402,0.116275608,5.86,21.81250004,592,1868,63.01673445,Other
icr006166,36.16726685,-6.88896513,Tanzania,Chinyanghuku,15,3,Topsoil,43.19,2.74,7,0.101686058,0.185662829,11.43,22.5333335,575,1900,60.2590728,Other
icr006172,36.1642,-6.88228,Tanzania,Chinyanghuku,15,8,Subsoil,19.932,0.6,5.64,0.079223098,0.107145554,0.74,21.7833333,585,1864,65.37248494,Other
icr006174,36.1632843,-6.88359499,Tanzania,Chinyanghuku,15,10,Subsoil,22.202,0.74,6.93,0.092270124,0.139838277,3.02,21.6333334,590,1858,69.84092508,Other
icr006175,36.16141891,-6.88222981,Tanzania,Chinyanghuku,15,12,Topsoil,26.339,3.25,6.74,0.07503261,0.114246024,8.85,21.7833333,585,1864,61.68574142,Cropland
icr006176,36.1644,-6.88375,Tanzania,Chinyanghuku,15,13,Topsoil,19.744,1.87,6.35,0.082452759,0.102373553,4.25,21.6333334,590,1858,72.90786861,Other
icr006185,36.16,-6.87052,Tanzania,Chinyanghuku,16,4,Topsoil,34.206,1.03,7.1,0.105072792,0.167879578,7.14,22.17083347,577,1885,66.86393089,Other
icr006192,36.1577,-6.87246,Tanzania,Chinyanghuku,16,8,Topsoil,32.963,1.94,7.34,0.110662716,0.211607073,5.92,22.59166674,566,1906,67.23467878,Forest
icr006454,36.44020081,-6.12600994,Tanzania,Pandambili,1,1,Topsoil,49.756,0.94,7.85,0.210597371,0.08683478,15.21,22.05416652,562,1817,77.10861925,Cropland
icr006455,36.44020081,-6.12600994,Tanzania,Pandambili,1,1,Subsoil,58.155,0.7,8.03,0.270368619,0.109567028,14.99,22.05416652,562,1817,76.39714493,Cropland
icr006474,36.43598175,-6.08874989,Tanzania,Pandambili,2,1,Topsoil,2.141,0.57,5.01,0.155484216,0.09492352,1.16,21.94166664,580,1803,94.0053323,Other
icr006475,36.43598175,-6.08874989,Tanzania,Pandambili,2,1,Subsoil,10.162,0.47,4.57,0.184688977,0.10700192,1,21.94166664,580,1803,94.93697625,Other
icr006492,36.4405,-6.06394,Tanzania,Pandambili,3,1,Topsoil,9.9,0.98,6.78,0.187155931,0.120491204,5.41,21.76666661,585,1787,87.34090487,Forest
icr006493,36.4405,-6.06394,Tanzania,Pandambili,3,1,Subsoil,44.447,0.56,6.09,0.256009348,0.225225451,3.48,21.76666661,585,1787,90.38678756,Forest
icr006510,36.4438591,-6.04692984,Tanzania,Pandambili,4,1,Topsoil,5.167,0.98,6.81,0.132084489,0.071824848,4.14,21.67916671,590,1763,90.42150948,Other
icr006530,36.4577,-6.11749,Tanzania,Pandambili,5,1,Topsoil,50.354,0.71,6.59,0.14955984,0.100245229,4.19,22.0250001,566,1823,92.01069529,Grassland
icr006531,36.4577,-6.11749,Tanzania,Pandambili,5,1,Subsoil,57.801,0.4,5.98,0.206531827,0.119363603,3.08,22.0250001,566,1823,93.92696623,Grassland
icr006551,36.46326065,-6.08820009,Tanzania,Pandambili,6,1,Subsoil,25.707,0.27,6.62,0.119293046,0.058170364,3.53,22.13750013,579,1798,85.63307936,Other
icr006570,36.46458817,-6.06997013,Tanzania,Pandambili,7,2,Topsoil,33.506,0.62,6.5,0.117037737,0.075753737,5.14,22.08333341,576,1797,90.57423071,Grassland
icr006571,36.46458817,-6.06997013,Tanzania,Pandambili,7,2,Subsoil,25.754,0.48,6.3,0.13244358,0.081523358,5.45,22.08333341,576,1797,88.94770541,Grassland
icr006586,36.45772171,-6.05574989,Tanzania,Pandambili,8,1,Topsoil,13.682,1.09,7.06,0.255218208,0.228734656,9.14,21.93750004,578,1787,82.13180313,Other
icr006626,36.4863,-6.09622,Tanzania,Pandambili,10,1,Topsoil,7.829,0.43,5.89,0.123692137,0.106347516,1.21,21.87499996,593,1787,90.47989751,Grassland
